name,iata,icao,lat,lon,ico,alt
"Falfurrias Brooks County Airport",QTK,KBKS,27.204731,-98.122398,US,107
"Falls International Airport",INL,KINL,48.565578,-93.4021,US,1185
"Farah Airport",FAH,OAFR,32.365601,62.165138,AF,2400
"Fargo Hector International Airport",FAR,KFAR,46.92065,-96.815697,US,901
"Faribault Municipal Airport",FBL,KFBL,44.327831,-93.31144,US,1048
"Farmingdale Republic Airport",FRG,KFRG,40.728889,-73.41333,US,82
"Farmington Four Corners Regional Airport",FMN,KFMN,36.741249,-108.228996,US,5506
"Farmington Regional Airport",FAM,KFAM,37.761101,-90.428596,US,946
"Farnborough Airport",FAB,EGLF,51.275829,-0.77633,GB,238
"Faro Airport",FAO,LPFR,37.01442,-7.96591,PT,24
"Fayetteville Drake Field Airport",FYV,KFYV,36.005089,-94.169998,US,1252
"Fayetteville Municipal Airport",FYM,KFYM,35.0597,-86.564003,US,984
"Fayetteville Pope Field",POB,KPOB,35.170834,-79.014442,US,201
"Fayetteville Regional Airport",FAY,KFAY,34.990002,-78.879997,US,189
"Feira de Santana Airport",FEC,SBFE,-12.2003,-38.906799,BR,768
"Fergana International Airport",FEG,UTFF,40.358761,71.745018,UZ,1980
"Fergus Falls Municipal Airport",FFM,KFFM,46.285618,-96.151375,US,1186
"Fernando de Noronha Airport",FEN,SBFN,-3.85492,-32.423302,BR,193
"Fertoszentmiklos Meidl Airport",QEG,LHFM,47.582779,16.845278,HU,440
"Fes Saiss Airport",FEZ,GMFF,33.927261,-4.97795,MA,1900
"Figari Sud-Corse Airport",FSC,LFKF,41.50222,9.096667,FR,87
"Findlay Airport",FDY,KFDY,41.011944,-83.66861,US,813
"Fitchburg Municipal Airport",QTI,KFIT,42.553902,-71.759102,US,330
"Fitzroy Crossing Airport",FIZ,YFTZ,-18.1819,125.558998,AU,368
"Flagstaff Pulliam Airport",FLG,KFLG,35.140308,-111.668999,US,7014
"Flensburg Schaferhaus Airport",FLF,EDXF,54.773335,9.378889,DE,131
"Flin Flon Airport",YFO,CYFO,54.678051,-101.681,CA,997
"Flinders Island Airport",FLS,YFLI,-40.095001,147.996674,AU,34
"Flint Bishop International Airport",FNT,KFNT,42.96542,-83.743599,US,782
"Florence Peretola Airport",FLR,LIRQ,43.809952,11.2051,IT,142
"Florence Regional Airport",FLO,KFLO,34.18536,-79.723801,US,147
"Florencia Gustavo Artunduaga Paredes Airport",FLA,SKFL,1.588989,-75.563797,CO,803
"Flores Airport",FLW,LPFL,39.455269,-31.1313,PT,112
"Flores Mundo Maya International Airport",FRS,MGMM,16.913811,-89.866302,GT,427
"Florianopolis Hercilio Luz International Airport",FLN,SBFL,-27.670401,-48.5471,BR,20
"Floro Airport",FRO,ENFL,61.583611,5.024722,NO,37
"Foggia Gino Lisa Airport",FOG,LIBF,41.432911,15.53502,IT,266
"Fond Du Lac Airport",ZFD,CZFD,59.334209,-107.18119,CA,788
"Fond du Lac County Airport",FLD,KFLD,43.771198,-88.488403,US,808
"Forde Airport",FDE,ENBL,61.391109,5.756944,NO,1046
"Forli Airport",FRL,LIPK,44.194752,12.07009,IT,97
"Formosa International Airport",FMA,SARF,-26.2127,-58.2281,AR,194
"Fort Albany Airport",YFA,CYFA,52.241669,-81.591667,CA,53
